sig_id,cp_type,cp_time,cp_dose,g-0,g-1,g-2,g-3,g-4,c-0
id_0090da7e9,trt_cp,48,D2,-1.258,0.9614,0.0745,-0.1526,2.191,-0.2611
id_009140ea3,trt_cp,24,D2,-0.2021,0.1113,1.187,-1.172,0.5381,0.7717
id_0092c905e,trt_cp,48,D1,-1.168,-0.8433,0.0338,-0.4981,-0.5348,0.2795
id_009379beb,trt_cp,24,D1,4.746,-3.991,1.395,1.806,-0.7316,0.6377
id_0093bf6b8,trt_cp,24,D1,0.2323,-1.751,3.5,0.3083,0.2872,-0.7184
id_0094ce209,trt_cp,48,D2,0.0433,0.0756,0.0027,0.9788,0.3287,-0.0344
id_00997a3a8,trt_cp,72,D1,1.487,-0.0895,2.364,-0.3717,0.1295,0.8279
id_009afed7f,trt_cp,48,D1,-0.4139,-0.3801,1.042,-0.7012,-0.2944,-0.21
id_009bb5487,trt_cp,24,D1,-0.4609,-0.441,-0.3745,-0.3652,-0.4071,0.3173
id_009d60bd9,trt_cp,24,D1,-1.398,-0.3277,-0.2602,0.857,-0.5087,-0.7192
id_009d8340f,ctl_vehicle,24,D2,0.4471,-0.0839,-0.3864,0.3196,0.2584,0.8432
id_009da9c07,trt_cp,24,D1,0.4641,-1.032,1.596,-0.3639,-1.209,-0.4222
id_00a4acf2d,trt_cp,48,D2,0.1528,0.248,1.416,0.8525,0.7965,-2.207
id_00a5912c8,trt_cp,48,D1,-0.5676,-0.1612,-1.317,-0.0668,2.447,-0.3419
id_00a6e782e,trt_cp,48,D1,-0.7053,-0.2772,1.063,0.6516,0.0751,-0.0059
id_00ac7c837,trt_cp,24,D2,-0.3769,-0.293,-0.0566,1.484,-1.017,0.875
id_00b363e33,trt_cp,24,D1,0.0075,0.3758,0.3834,0.6057,-0.4151,-0.5787
id_00be9e759,trt_cp,48,D2,0.1736,-0.6098,0.0508,-0.803,0.0678,-0.2461
id_00bee1bc5,trt_cp,24,D2,0.5528,-0.6515,-0.155,-0.3447,0.6108,0.6442
id_00c240861,trt_cp,24,D2,0.0066,-0.784,0.5265,-0.2975,0.2097,0.2879
id_00c3672d5,trt_cp,72,D2,-0.553,-0.2655,0.8249,-0.5344,-0.2584,-0.5441
id_00c99b509,trt_cp,24,D2,-0.0465,-0.8073,0.427,0.0397,-0.2882,-0.7855
id_00ceee87f,trt_cp,24,D2,0.1529,0.7548,-0.2295,-0.8523,-0.2514,0.4027
id_00cf039a7,trt_cp,48,D2,4.546,0.4257,0.767,2.195,2.596,-9.65
id_00cf304ae,trt_cp,24,D2,-0.9906,-0.0223,-0.7852,0.155,0.0439,-0.0133
id_00cfd9aea,trt_cp,48,D2,0.1257,0.9688,-0.6265,-1.043,0.5238,-0.0077
id_00d41e2da,trt_cp,24,D1,1.532,-0.3059,0.4695,0.3089,0.1194,0.4688
id_00d421ae2,trt_cp,72,D1,-0.7283,0.7161,0.8069,0.2509,-0.2105,0.1638
id_00d575cfb,ctl_vehicle,72,D1,-0.6723,-0.1206,0.3467,-0.6395,-0.3117,1.057
id_00ea9ff8b,trt_cp,72,D2,0.2334,-0.6133,1.115,-0.4164,-0.283,-1.103
id_00eae2e04,trt_cp,48,D1,0.1982,-0.4159,-0.1508,2.043,0.1674,1.327
id_00eb9953e,trt_cp,72,D2,0.671,-0.2932,-1.309,0.3104,0.0445,0.6621
id_00f08ca12,trt_cp,48,D2,-0.0323,-0.8249,-0.2119,0.0735,0.0658,0.1195
id_00f11ed38,trt_cp,48,D2,0.0956,0.0837,0.77,3.316,-0.1528,-0.0151
id_00f3fd495,trt_cp,48,D2,-1.188,-0.3802,0.2006,0.5696,-1.216,0.5475
id_00f532aa2,trt_cp,72,D2,-0.4705,-1.235,0.4152,-0.1484,-0.2319,-0.081
id_00f62af34,trt_cp,48,D1,-1.267,-0.2418,-0.3098,-0.3943,1.351,-0.4828
id_00f92f0b2,trt_cp,48,D2,-0.297,0.2023,-0.8704,-0.8648,0.0428,0.0791
id_00f982099,trt_cp,48,D1,-0.4209,0.311,-0.8058,0.4995,0.22,-0.0278
id_00fb2c241,trt_cp,24,D1,0.6685,-1.451,-0.4586,-0.2297,-1.746,1.236
id_00fe43a96,trt_cp,24,D2,-0.5985,0.1227,1.691,-0.2117,-0.6305,-0.3626
id_00ff52a2c,trt_cp,72,D1,-1.061,-0.4096,1.863,0.2921,-1.755,0.1194
id_010385a91,trt_cp,48,D2,-0.4336,-0.9835,-0.1847,0,-0.473,0.3013
id_010629f4f,ctl_vehicle,24,D2,1.747,0.8486,-0.8951,-0.2527,0.8395,-1.133
id_0106bfcfd,trt_cp,24,D1,2.2,1.003,0.1544,-1.421,-0.6126,-0.1122
id_010aa48d5,trt_cp,48,D2,0.8022,0.2838,-0.1738,-0.3234,0.1443,-0.6923
id_010b6dcd3,trt_cp,24,D2,0.0921,-0.1795,0.3784,1.817,0.0235,0.3883
id_010d00d5f,trt_cp,24,D1,0.3634,0.0967,3.181,0.4634,0.0248,0.3751
id_0112a0b2a,trt_cp,24,D2,-0.517,0.8672,0.671,0.9079,0.4985,-0.4401
id_0114aaed0,trt_cp,24,D1,-0.005,0.6787,0.3609,-0.0847,0.9934,-0.2027
id_0118c5902,trt_cp,72,D2,-0.6307,-0.9463,-0.4086,-0.1295,0.0001,-0.1235
id_011c284f7,trt_cp,24,D2,0.7801,0.8399,1.597,0.0383,-0.534,-0.1771
id_0124188e4,trt_cp,48,D2,0.552,-0.0201,0.1626,-0.7463,-0.1588,-1.232
id_01286cb48,trt_cp,72,D2,-0.0954,0.5702,-0.8649,0.4792,-0.286,1.527
id_012a2d925,trt_cp,72,D1,-0.6937,-1.77,-2.777,1.616,4.089,-0.3419
id_0131c7fbd,trt_cp,72,D1,-0.6341,-0.5975,-0.436,0.636,-1.253,0.0958
id_01321cc2b,trt_cp,72,D2,0.0138,-0.461,-0.1813,0.3696,0.9619,0.3627
id_01358cd02,trt_cp,24,D1,-0.3289,0.5107,1.172,0.2273,-0.4747,0.401
id_013caefbf,trt_cp,72,D1,-0.3718,-0.4962,-0.1409,0.3649,0.7076,1.089
id_013cc7eca,trt_cp,24,D1,-0.704,-1.194,1.234,0.3088,1.686,-0.2684
id_013d94d49,trt_cp,72,D1,-0.7011,-1.9,-0.1185,0.8657,-2.348,-0.1727
id_014092333,trt_cp,24,D1,-0.6988,-0.4308,-0.2081,-0.2863,-0.1702,0.1702
id_01424b2ca,trt_cp,48,D2,-0.5386,-0.0847,-0.3008,-1.073,0.2799,-0.4194
id_014466728,trt_cp,48,D1,0.0374,-0.7315,0.1712,-0.7089,-0.0258,-0.292
id_0144e88e8,ctl_vehicle,48,D2,-1.67,-2.324,-0.9795,0.3699,-1.927,1.497
id_014e9ee08,trt_cp,48,D1,0.4072,-1.996,3.54,-0.6873,-0.428,0.2254
id_01534c4ee,trt_cp,72,D2,10,-1.22,1.515,-2.191,4.353,-9.809
id_0157eefb3,trt_cp,48,D2,-0.3555,0.3616,-0.1624,-1.406,-0.1772,-0.0937
id_01587ff16,trt_cp,72,D2,1.027,-0.832,-0.9726,0.4467,0.5163,1.531
id_0160300d7,trt_cp,48,D2,-0.1057,0.7146,0.3196,0.9543,-0.5435,-0.9311
id_0162da5e3,trt_cp,24,D1,0.3939,0.4426,0.7528,-0.4492,-0.1728,-0.261
id_016364d11,trt_cp,48,D2,-0.1285,0.4635,-0.5757,0.1341,0.197,-0.1097
id_0165cb330,trt_cp,72,D1,-0.6562,-0.5893,-0.8344,0.1491,-0.2657,-1.818
id_016f18b33,trt_cp,48,D1,-0.5924,-0.3747,-0.2318,-0.0164,-0.7001,-0.32
id_016f3905a,trt_cp,72,D1,0.6387,0.2193,-0.0464,-0.224,0.0066,0.2725
id_0175478e7,trt_cp,48,D2,-0.8516,0.6187,-3.262,-0.5904,0.4593,0.181
id_017652e9a,trt_cp,72,D2,-0.2722,0.205,-2.092,-0.0812,-2.307,-0.7244
id_017c7a597,trt_cp,72,D2,0.2347,0.0104,0.3749,-0.1866,-0.6379,0.4959
id_017e29d4d,trt_cp,24,D1,-0.7307,-0.6776,0.6388,0.072,-0.1736,0.1262
id_017f108a9,trt_cp,48,D2,0.2939,-0.5257,-0.3972,-0.6264,-0.1214,-0.1985
id_018492dbc,ctl_vehicle,24,D2,0.3005,-0.8478,-0.2077,-0.7008,-2.365,0.5559
id_01856bbd5,trt_cp,48,D2,0.1254,-0.3176,1.023,-0.7465,-0.2573,-2.032
id_01882cf6e,trt_cp,72,D1,-1.429,-0.522,-0.1406,-0.3457,-0.8043,0.8363
id_018e83eec,trt_cp,72,D2,0.3354,0.1169,0.4901,-0.2776,-0.3064,-0.0701
id_018eabd67,trt_cp,72,D1,-0.0879,-0.3845,0.2708,0.229,-0.9327,-0.4552
id_018fc6bfa,trt_cp,24,D1,-0.0788,0.2323,1.188,0.1744,0.409,-0.6091
id_0192489a1,trt_cp,24,D2,-0.3386,0.1582,1.101,-1.157,0.0723,-0.387
id_019351a82,trt_cp,24,D2,-0.7273,-0.5028,0.7835,-0.7823,-0.3384,0.4081
id_01952a294,trt_cp,72,D1,0.3268,-0.1883,-1.124,-0.4718,0.1218,0.2933
id_01977bb32,trt_cp,24,D2,-0.9642,-0.8186,0.6047,0.3113,-1.345,0.9427
id_019a1ab73,trt_cp,48,D1,-0.846,-1.12,0.0532,1.322,0.0357,-0.0244
id_019c2d7db,trt_cp,24,D1,-1.127,-0.2163,-0.4153,-0.5113,-0.1945,-0.2051
id_01a39024a,trt_cp,72,D2,-0.8899,-0.4729,-0.1187,-0.5585,-0.3078,0.7846
id_01a4f84b2,trt_cp,72,D1,0.6352,0.5682,0.9044,-0.232,0.6151,1.104
id_01ac1b14a,trt_cp,48,D2,-0.9895,-1.827,-0.4209,0.1014,0.2193,-0.1992
id_01b05de6c,ctl_vehicle,48,D1,-0.3176,0.8375,-0.3773,0.5555,-0.4877,-0.2294
id_01b1c6ab8,trt_cp,72,D1,0.0417,0.3026,-0.4291,0.3054,-0.5697,-0.8519
id_01b2f93ae,trt_cp,24,D1,0.2407,-1.042,1.882,-0.3781,0.1822,-0.2462
id_01b3f1a27,trt_cp,24,D2,-0.1467,-0.2808,1.266,-0.2189,-0.1089,-0.8869
id_01b44b61f,trt_cp,48,D2,-0.3372,-1.138,-1.922,-0.0878,-0.1308,-0.4425
id_01b5073a7,trt_cp,48,D1,-0.728,0.635,-0.0751,-0.809,-1.257,0.1071
id_01b5f3aea,trt_cp,72,D2,0.2519,0.6211,0.5326,1.228,0.1482,-0.3458
id_01b6623ce,trt_cp,24,D1,-0.0197,0.8614,0.2926,-0.2826,2.711,-0.421
id_01b6efc7f,trt_cp,72,D2,0.2228,-0.2573,1.624,-0.4694,0.1627,-1.038
id_01bbbbcaa,trt_cp,24,D1,-0.1995,0.5038,0.7072,0.2024,-0.0849,-1.211
id_01befe536,trt_cp,48,D2,0.6213,-0.9263,0.5034,2.172,0.1557,0.0343
id_01c5c9827,trt_cp,48,D1,-0.0546,0.6417,-0.8379,-0.4593,0.0824,-0.7947
id_01c5e202c,trt_cp,72,D2,0.0934,0.5635,1.164,-0.1969,0.132,-0.2215
id_01c65d875,ctl_vehicle,24,D2,0.2039,-0.5514,0.4358,0.9672,-2.601,-0.0319
id_01c720273,trt_cp,48,D2,-0.9604,0.1641,2.256,0.6304,0.0058,-0.3213
id_01cb69424,ctl_vehicle,48,D2,0.3121,0.2786,-0.7217,0.6381,-1.165,1.573
id_01d1797b9,trt_cp,48,D2,-0.684,-0.1766,-0.8288,0.7158,0.0568,-0.5148
id_01d1e527e,trt_cp,48,D1,-0.7138,-0.1127,0.5573,0.0232,-0.6265,0.5201
id_01d50787a,trt_cp,48,D1,-0.3711,-1.321,-0.1962,0.3002,-0.175,0.1625
id_01d6bfb4b,trt_cp,48,D1,1.482,-1.094,0.268,-0.6962,-0.8838,-0.6094
id_01d945f63,trt_cp,72,D1,-0.219,-0.7437,0.7617,0.8302,-0.3728,1.096
id_01df54942,ctl_vehicle,48,D2,-0.2693,0.5933,0.6234,0.1391,-0.9349,-0.2376
id_01e740d5f,ctl_vehicle,72,D2,0.7344,-0.9526,-1.75,-0.6565,1.317,-0.5358
id_01e746d96,trt_cp,72,D2,-0.9614,-0.4224,-1.462,0,-0.4601,0.8867
id_01e7ece50,trt_cp,48,D1,2.891,0.581,-0.6697,3.254,0.3011,1.209
id_01e84e099,trt_cp,24,D2,-0.8242,-0.7993,0.7042,0.564,-1.146,0.3267
id_01f054954,trt_cp,48,D1,-1.557,0.6754,-0.4119,0.7788,0.8899,0.9194
id_01f1c58a2,ctl_vehicle,72,D1,1.122,0.7841,-0.4374,-0.0314,-0.413,-0.2382
id_01f2bd826,trt_cp,72,D1,-0.0971,-0.4713,0.4866,-0.0301,-0.2699,0.6329
id_01f3ec600,trt_cp,48,D2,-0.4664,-0.8181,0.9225,0.2492,0.5932,0.0908
id_01f476574,trt_cp,24,D1,-0.6569,-0.336,0.6805,0.6712,-0.4352,0.1915
id_01fa77927,trt_cp,72,D1,-1.044,0.7214,-0.0746,-0.2414,-0.6669,0.7411
id_01fc89a5a,trt_cp,24,D2,-0.3997,0.4002,0.1516,-0.2281,-0.2612,0.286
id_0202d08e5,trt_cp,48,D2,0.0289,0.1316,0.1312,-0.7999,-0.2354,-0.8862
id_0203a4cf8,trt_cp,72,D2,-0.4192,-0.5045,0.008,-0.4051,0.1367,0.3068
id_02047dd63,ctl_vehicle,72,D2,-0.7276,0.514,-0.0387,-0.4211,1.084,0.555
id_02058f39b,trt_cp,72,D1,-0.3493,0.3807,-0.4811,-0.5106,-0.2431,-0.0827
id_02088f9bb,trt_cp,24,D1,1.679,1.153,-1.251,1.707,1.38,2.732
id_020ba48d9,ctl_vehicle,48,D1,0.8094,-0.3339,1.113,-0.4192,0.4545,-1.103
id_020c2527f,trt_cp,24,D1,1.053,-0.7551,-0.3903,0.0162,-1.063,0.5842
id_020e66e33,trt_cp,72,D2,-1.225,-1.086,-1.536,-1.362,0.142,-0.799
id_0210cba6a,trt_cp,48,D2,-0.4949,-0.4313,-0.9074,0.3616,0.3812,0.2905
id_021136b7d,trt_cp,24,D1,-0.1173,0.0786,0.4165,-0.8586,0.2887,0.6682
id_02113de68,trt_cp,24,D1,-0.1355,-1.007,-0.2351,-0.1194,0.4622,-1.148
id_02137cac4,trt_cp,72,D2,1.064,0.4926,-1.2,-0.8149,1.362,-0.1129
id_021516fa7,trt_cp,48,D1,0.3204,-0.0772,0.382,1.076,-0.8025,0.8073
id_021559549,trt_cp,48,D2,0.4457,-0.3131,0.0693,-0.9412,-0.5964,-0.1303
id_0218bcb2f,trt_cp,72,D1,0.5261,0.4501,1.186,-0.2543,0.1343,0.5918
id_021d658ac,trt_cp,48,D2,-0.7023,0.4015,-0.6463,0.8902,0.1429,-0.4209
id_021dc1d49,trt_cp,72,D2,0.3355,0.9667,0.466,-0.7763,-0.1346,-0.3924
id_021fd592f,ctl_vehicle,24,D1,-1.094,-0.4148,0.5084,0.1086,-2.272,0.5182
id_02210c40e,trt_cp,72,D2,-0.9728,-0.0314,0.6591,3.026,-0.3841,-0.2693
id_02221530e,trt_cp,48,D1,-0.0584,-0.338,-0.9186,0.5787,0.5093,0.1868
id_022558d3e,trt_cp,24,D1,-0.1167,-0.0873,0.301,-1.012,-0.0442,-0.2333
id_0227c6599,trt_cp,48,D1,0.875,0.543,-0.456,0.3521,0.3816,-0.7081
id_02291b0ea,trt_cp,72,D2,0.5769,0.9085,-2.206,-0.1078,1.625,0.4763
id_022a1f85a,trt_cp,24,D2,-0.6205,-0.6656,-0.1998,0.5189,-0.7786,-0.1738
id_022ab81bd,trt_cp,24,D1,-0.4996,-1.487,-0.9169,1.911,0.0638,0.5406
id_022df136b,trt_cp,48,D1,-0.847,-0.0377,0.6806,0.0679,-0.841,0.1741
id_023316930,trt_cp,48,D1,-0.0181,0.5372,0.182,0.5697,-0.9613,0.2325
id_02331a1f5,trt_cp,72,D1,-0.1905,0.0882,-0.9369,-0.4253,-0.2505,-0.589
id_0236e3425,trt_cp,72,D1,3.612,-1.713,0.0313,-1.736,3.355,-9.885
id_02371db3b,trt_cp,48,D1,-0.002,0.5439,0.5009,0.1764,1.983,-0.2765
id_023973212,trt_cp,24,D1,0.4037,-1.313,0.2283,-0.0995,0.9264,-0.2117
id_0239a6604,trt_cp,72,D2,-0.604,-0.6536,0.7384,-0.1933,-0.8683,-0.7709
id_023bd0a50,trt_cp,72,D1,0.2835,0.2693,0.1532,0.7344,0.199,-0.2306
id_023d26b33,trt_cp,72,D1,0.1335,-1.824,-0.8798,0.6821,0.2188,-0.2079
id_0241f1f99,trt_cp,48,D1,0.9226,0.5694,0.3146,-0.2395,1.176,0.0413
id_024629df9,trt_cp,24,D1,-0.545,-0.9986,-0.3809,-0.2526,-0.5311,-0.3864
id_02485b4ba,trt_cp,72,D2,-0.0427,0.6739,0.0089,0.4617,0.368,-1.16
id_024a52260,trt_cp,24,D2,2.119,0.1098,1.104,5.062,-0.7427,-3.966
id_024e15575,trt_cp,24,D1,-0.3575,-2.847,1.326,0.0954,1.266,-0.0677
id_024f6faa6,trt_cp,24,D2,3.52,-0.052,1.44,0.9125,0.4176,0.2116
id_025195b8c,trt_cp,24,D1,0.8171,-0.9504,0.1964,0.322,3.164,0.341
id_025280178,trt_cp,48,D1,0.1609,-0.5698,0.0309,-0.313,0.0418,0.1783
id_0253eabda,trt_cp,72,D1,-0.6123,-1.182,1.374,0.7153,0.2427,0.2359
id_02547851c,trt_cp,48,D1,0.3221,0.0735,0.3327,-0.1461,-0.8587,-0.7449
id_02567e372,trt_cp,72,D1,-1.816,-0.73,-0.2522,-0.9696,0.2272,-4.561
id_0256f3535,trt_cp,24,D2,-1.317,-0.9034,1.628,-0.0594,-0.7177,0.6673
id_02573df9e,trt_cp,48,D2,-0.4263,0.8043,0.0515,-0.2025,-0.0325,0.1685
id_025764b09,trt_cp,24,D2,-0.783,-0.0894,-0.2445,-0.1216,-0.8991,0.2484
id_0259d5047,trt_cp,24,D2,2.93,0.711,0.3064,2.659,-0.109,-0.2673
id_0263807a7,trt_cp,24,D2,1.491,-0.7732,0.6812,-1.125,-0.4974,0.1765
id_026459674,trt_cp,24,D1,-0.6802,-1.356,-0.3072,-0.4565,-0.0859,-0.4969
id_026a80642,trt_cp,24,D1,-0.6456,-0.4081,-0.3205,0.7041,0.6559,-0.0838
id_026ccd84a,trt_cp,24,D1,-1.057,0.4888,0.1066,0.574,0.1596,0.0204
id_026ecf01e,trt_cp,48,D1,1.407,0.4332,0.2056,0.3477,0.6809,0.9449
id_027496360,trt_cp,72,D2,-0.134,0.3848,-2.481,-1.071,0.8638,-0.9376
id_02758a23e,trt_cp,72,D1,2.825,-1.278,0.1994,0.1683,-1.466,0.0592
id_0275dcc10,trt_cp,24,D1,0.2011,1.052,-0.1198,0.0232,0.6173,0.2932
id_0276dba27,trt_cp,24,D2,0.1568,-0.1469,1.891,0.1952,0.389,-0.0037
id_0279a7232,trt_cp,24,D2,-0.2618,-0.4862,-0.479,-0.7459,0.0008,-0.0901
id_0279e8025,trt_cp,24,D2,-1.217,-1.066,-0.2248,1.701,0.4448,0.7159
id_027ddd814,trt_cp,48,D1,0.5746,1.227,-0.6961,0.0141,0.6327,-0.3648
id_028115571,trt_cp,24,D2,2.849,-0.235,-0.2828,-0.7262,0.3971,1.461
id_0285c7eb7,trt_cp,24,D2,0.7227,0.7007,-0.8096,-0.5957,0.1205,-0.9662
id_028638ca1,trt_cp,72,D2,0.0669,0.1838,-1.077,0.1815,-0.5105,0.2487
id_028aa6774,trt_cp,48,D2,0.0027,1.284,-0.4172,-1.222,0.8062,-0.1752
id_028b6d60d,trt_cp,48,D1,6.783,-0.0079,1.178,1.253,2.956,-9.753
id_028e3e413,trt_cp,24,D1,0.8868,-1.165,-0.9354,1.181,-1.41,-0.4181
id_028f92703,trt_cp,72,D2,-0.0568,0.6579,0.4403,1.242,0.7652,-0.5043
id_0290cfd3b,trt_cp,48,D1,6.812,1.816,0.8443,1.212,3.38,-6.021
id_02922b4ab,trt_cp,48,D1,0.8603,-0.9086,0.391,0.948,1.705,0.7583
id_02945c933,trt_cp,48,D1,2.391,-0.0442,-0.0665,0.1629,-0.8641,0.2759
id_02973bcb5,trt_cp,48,D1,0.2723,0.9656,-0.644,0.5406,1.315,-0.1868
id_029833ce8,trt_cp,48,D1,-0.7573,0.0311,0.0269,0.6558,1.192,0.1403
id_0299389e5,trt_cp,72,D1,-0.9047,0.3009,-0.6937,-0.0948,1.141,1.055
id_029cae7c4,trt_cp,48,D2,0.7131,0.9815,0.083,3.011,-0.1485,2.109
id_02a2dee60,trt_cp,24,D1,-0.2388,-1.764,2.77,1.506,2.44,-0.4483
id_02a5e52d3,trt_cp,24,D1,-0.1072,0.9886,-0.464,0.1856,-0.8654,0.5116
id_02a82c5dd,trt_cp,48,D2,-0.1443,0.6583,-0.2139,-0.4695,0.0849,-0.7142
id_02a8ee101,trt_cp,72,D2,-0.6636,-0.7864,-1.571,0.2934,0.0633,1.061
id_02aa7e9b8,trt_cp,24,D1,-0.462,-0.9665,3.156,-0.2043,-0.0389,-0.3097
id_02ae0e8cf,trt_cp,24,D1,0.7201,0.289,-0.4195,1.046,0.1956,0.2576
id_02b02aaed,trt_cp,48,D1,0.3203,-0.7749,0.4191,0.427,0.1221,-0.4023
id_02b0430ff,trt_cp,48,D1,0.3247,-0.3353,0.3932,1.205,-0.534,-0.3737
id_02b157b78,trt_cp,72,D1,-0.7436,-1.464,-0.0135,0.5462,-0.4022,0.954
id_02b2fc262,trt_cp,48,D2,-0.4644,1.276,-0.7654,-0.9693,-0.0803,0.2213
id_02b333e98,trt_cp,24,D1,-1.4,-2.348,-0.1615,0.3537,0.459,-0.4555
id_02bc5cb63,trt_cp,24,D2,0.8344,0.1547,0.5935,-0.5461,0.3263,-0.5383
id_02c417942,trt_cp,24,D1,0.1208,-0.3137,-1.039,0.9754,3.928,-0.3037
id_02c5a6aeb,trt_cp,48,D2,-0.8505,0.4712,-1.019,-0.0643,0.3158,-0.5706
id_02c749b75,trt_cp,72,D2,-0.3864,0.9793,-0.1454,-0.135,-0.0542,-1.702
id_02c93b4a5,ctl_vehicle,48,D1,-0.0884,-1.541,0.5562,0.4661,-0.1683,0.8072
